rank,ticker,security,gics_sector,gics_sub_industry,marketCap,composite_score,next_earnings,days_to_earnings,eps_beats_4q,eps_misses_4q,eps_surprise_avg_4q,eps_surprise_trend,eps_yoy_q,rev_yoy_q,rev_accel,rev_up_years,rev_growth_ttm,revenueGrowth,operatingMargins,profitMargins,returnOnEquity,net_debt_ebitda,dist_sma200,dist_52w_high,ret_12m,analyst_upside,trailingPE,forwardPE,recommendationKey,accrual_ratio,cfo_ni,eq_flags
1,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,40308359168,0.7971264367816092,2026-11-02,42,4.0,0.0,5.7924999999999995,-1.3050000000000006,0.1763085399449036,0.0965589473048527,0.010156289882693237,3,0.08640265742215947,0.097,0.3498,0.25030002,0.74211,0.5544529525990705,-0.14359601854488213,-0.3326420425935722,-0.20161968980509248,0.3660179973370705,35.98101,30.56506263538681,buy,-0.06846289211382213,1.2034420912977248,
2,TPR,"Tapestry, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",22930042880,0.7482758620689655,2026-11-05,45,4.0,0.0,15.190000000000001,0.7999999999999989,0.26923076923076916,0.08902042711234914,-0.01707218018384049,3,0.10609260729618963,0.089,0.19823,0.19086,1.97135,1.385767260516653,-0.1661961076736599,-0.2994541858147801,0.0600737628283563,0.4478260869565218,15.818432,12.92203,buy,-0.067931465770558,1.2950841133730444,
3,VRT,Vertiv,Industrials,Electrical Components & Equipment,96012197888,0.7389655172413793,2026-10-21,30,4.0,0.0,13.0025,-3.915000000000001,0.6000000000000001,0.2411584094613548,0.04723550278580535,3,0.19392290667554946,0.241,0.20362,0.15088001,0.43943,0.08496346829749289,-0.04438323039534675,-0.33683373774894976,0.8245672770838848,0.35592381742487755,56.55102,27.338319933092805,strong_buy,-0.12332792288013503,1.9366050808314088,INVENTORY_BUILD
4,LVS,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming,25895092224,0.7334099616858237,2026-10-21,30,3.0,1.0,8.477500000000001,-18.945,-0.25316455696202544,-0.006614173228346454,-0.1005913993691041,3,0.09397722614075765,-0.007,0.19658001,0.12588,1.22869,2.566932437964286,-0.23975244916056948,-0.4145841020727281,-0.22508115543572838,0.47744924152882917,15.496124,11.387717869612716,buy,-0.09602720371656409,2.160972785176607,RECEIVABLES_OUTRUN
5,NFLX,Netflix,Communication Services,Movies & Entertainment,298929225728,0.7104214559386974,2026-10-20,29,2.0,2.0,-3.5774999999999997,7.205,0.11111111111111116,0.13365374252899542,0.02089731406291495,3,0.11275642846608047,0.134,0.33381,0.28219,0.49541,0.5110874747049546,-0.16017160254491525,-0.4216780144189931,-0.4156288009181357,0.3006144143927001,22.575472,18.799002239740915,buy,0.030099639977927407,0.8770071039225791,RECEIVABLES_OUTRUN
6,BKNG,Booking Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",126156775424,0.6836206896551724,2026-10-27,36,4.0,0.0,3.54,3.08,0.144144144144144,0.0814945572227126,-0.0031944343317977797,3,0.08468899155451037,0.081,0.34412,0.25527,,0.35628553404507546,-0.08795656299981125,-0.24029208260125345,-0.23727844775838003,0.4221786103650349,18.655556,13.568027006773866,buy,-0.08779776695490839,1.3675960604799555,
7,ISRG,Intuitive Surgical,Health Care,Health Care Equipment,140921503744,0.6348659003831417,2026-10-20,29,4.0,0.0,15.7,-0.8699999999999974,0.27853881278538806,0.18536885245901646,0.03474821022512864,3,0.15062064223388782,0.185,0.33603,0.28445998,0.17423001,-1.247655996938385,-0.13573917027169136,-0.33654380910866744,-0.0929991623605374,0.2110564570761051,45.054985,32.52927288949622,buy,-0.02766095351341868,1.180833439531031,
8,ADBE,Adobe Inc.,Information Technology,Application Software,98945695744,0.617432950191571,2026-12-09,79,4.0,0.0,2.0725,-0.935,0.15442561205273075,0.12685169419376807,0.0138623104612281,3,0.11298938373253997,0.129,0.34822,0.28048,0.61902,0.115120433634354,-0.06063724681269078,-0.32259292451604027,-0.312508649891987,0.11744677826653604,13.890625,8.99495793383312,hold,-0.11206064782908338,1.4498547516945635,
9,CASY,Casey's,Consumer Staples,Food Retail,22082961408,0.5990421455938697,2026-12-08,78,4.0,0.0,15.8325,8.535,0.27729636048526873,0.24331162885205648,0.11709277288351827,2,0.1262188559685382,0.243,0.065,0.041389998,0.19983,1.5113281004514318,-0.18063321285929324,-0.3474396481907339,0.07968583696478193,0.3393975131554323,28.766489,25.47567516721598,buy,-0.07047477880517751,1.7975823388064125,
10,GS,Goldman Sachs,Financials,Investment Banking & Brokerage,274283446272,0.5685823754789272,2026-10-13,22,4.0,0.0,20.485,11.39,0.9230064161319891,0.1437392112601248,-0.042522616814374636,2,0.18626182807449942,0.425,0.42176998,0.31039,0.16902,,-0.0070232094719206994,-0.1783367547722684,0.2093974518046544,0.2119426751592357,14.555006,12.724152,hold,0.03024283385702499,-2.20234669028116,"LOW_CASH_CONVERSION,RECEIVABLES_OUTRUN"
11,BR,Broadridge Financial Solutions,Industrials,Data Processing & Outsourced Services,18600376320,0.5513409961685823,2026-11-03,43,4.0,0.0,11.04,-15.950000000000001,0.07605633802816891,0.07480391207514292,0.0101345765238956,3,0.06466933555124732,0.075,0.24609,0.15037,0.40916002,1.7228856154033607,-0.05282359623914312,-0.31209507304731177,-0.31927947929269274,0.30800584572581813,17.010427,14.092307421811395,none,-0.025294020114006048,1.1967271433653504,
12,VRSK,Verisk Analytics,Industrials,Research & Consulting Services,22982541312,0.5439655172413794,2026-10-28,37,4.0,0.0,5.2325,-3.4149999999999996,0.05319148936170226,0.04361894900336516,0.005123549886298928,3,0.03849539911706623,0.044,0.45106998,0.28237,,2.681685977287305,-0.08402556921523885,-0.2955607163083479,-0.2904260442350831,0.33837697450953286,26.9447,20.16587042101147,buy,-0.13297025013992336,1.697571993224167,
13,GE,GE Aerospace,Industrials,Aerospace & Defense,326074761216,0.5417624521072797,2026-10-20,29,4.0,0.0,11.9375,1.0549999999999997,0.2168674698795181,0.21103248049355838,0.05679189139016705,3,0.15424058910339133,0.211,0.20571,0.17716,0.48231998,0.8956719390376219,-0.024009111862431265,-0.17562040814398738,0.0910741900855272,0.2759729341593449,37.01649,34.5779087912169,buy,-0.006547317813765182,1.0922871154703522,
14,SYK,Stryker Corporation,Health Care,Health Care Equipment,105528614912,0.5406130268199233,2026-10-29,38,3.0,1.0,-0.8749999999999998,-5.32,0.17891373801916943,0.09415476585851867,0.036005475352304694,3,0.05814929050621398,0.094,0.27015,0.14433,0.16508,1.6228307505422994,-0.1744629222323153,-0.28611764228896397,-0.2625739726043085,0.3604245661627583,28.480331,16.440749708210603,buy,-0.03810695833907979,1.481630463931349,
15,RL,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",19966009344,0.5302681992337165,2026-11-05,45,4.0,0.0,8.19,-0.5800000000000001,0.2175066312997347,0.14001512419289153,0.03662480787454858,3,0.10339031631834295,0.14,0.18395,0.117639996,0.37537,0.6667712176751193,-0.08095290277351042,-0.18909087149477755,0.10647676269786466,0.3330524078295847,21.102015,16.02239229183205,buy,-0.04341195937834593,1.3403194628141215,
16,EFX,Equifax,Industrials,Research & Consulting Services,18664824832,0.5174329501915709,2026-10-20,29,4.0,0.0,4.7749999999999995,2.4299999999999993,0.125,0.10611581001951853,0.025811117469936695,3,0.08030469254958184,0.106,0.17305,0.10729,0.14275,2.752689326983288,-0.1401556170156959,-0.38368411812054537,-0.38746654561550775,0.3530080355415406,27.920914,15.628442519665407,buy,-0.07707209713929464,2.332079838009835,
17,MCO,Moody's Corporation,Financials,Financial Exchanges & Data,81150877696,0.5130268199233716,2026-10-21,30,4.0,0.0,6.2375,0.10499999999999954,0.3146067415730336,0.15121180189673344,0.06946564225457164,3,0.08174615964216181,0.151,0.49473998,0.34252,0.76932,1.5109794820386595,-0.004706120162681016,-0.12581659586741256,-0.07643198164262976,0.19913955566994646,29.770649,24.761479806484882,buy,-0.034745706518135404,1.1874776386404293,
18,BRO,Brown & Brown,Financials,Insurance Brokers,21756364800,0.49252873563218386,2026-10-26,35,3.0,1.0,4.54,-7.17,0.03883495145631066,0.3242594075260208,0.10609711263884858,3,0.2181622948871722,0.324,0.41838002,0.18084998,0.10023,2.4716458755186723,-0.05145347202773054,-0.3158721527254652,-0.28805003022046527,0.17656111888092196,20.77316,13.47519930428558,hold,-0.011346649136393926,1.2614107883817427,RECEIVABLES_OUTRUN
19,SPGI,S&P Global,Financials,Financial Exchanges & Data,119488339968,0.48429118773946356,2026-10-29,38,2.0,2.0,1.6725,-3.105,0.09932279909706554,0.10412782956058586,0.030995456076095218,3,0.07313237348449064,0.104,0.4479,0.30536,0.14255,1.4262556213581776,-0.04828992817660971,-0.21042351868572495,-0.20559956853700756,0.2836770714449528,24.684532,20.0462443622399,strong_buy,-0.013089918167735866,1.1639577407557904,
20,XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,25113841664,0.4507662835249042,2026-11-03,43,4.0,0.0,6.1125,0.3050000000000006,0.1587301587301586,0.015210777922642249,-0.009735502796606843,3,0.024946280719249092,0.015,0.16995001,0.111549996,0.09182999,0.8993933589484328,-0.11769953597943572,-0.286905840601718,-0.22641491005397496,0.4305969086339554,25.670643,17.22197160909418,buy,-0.016390119595748993,1.2779960707269156,
21,CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,42302922752,0.44597701149425284,2026-10-28,37,4.0,0.0,2.78,-0.20000000000000018,0.0,0.09308926409376794,0.03628952067629676,3,0.05679974341747118,0.093,0.16108,0.114250004,0.49560001,2.084086651242287,-0.04441893365035421,-0.210812091041225,-0.1572976594855091,0.3119766556870027,30.953703,24.398611222730036,buy,-0.10016015217020502,1.6397894612253294,
