rank,ticker,security,gics_sector,gics_sub_industry,marketCap,composite_score,next_earnings,days_to_earnings,eps_beats_4q,eps_misses_4q,eps_surprise_avg_4q,eps_surprise_trend,eps_yoy_q,rev_yoy_q,rev_accel,rev_up_years,rev_growth_ttm,revenueGrowth,operatingMargins,profitMargins,returnOnEquity,net_debt_ebitda,dist_sma200,dist_52w_high,ret_12m,analyst_upside,trailingPE,forwardPE,recommendationKey,accrual_ratio,cfo_ni,eq_flags
1,ISRG,Intuitive Surgical,Health Care,Health Care Equipment,131380568064,0.8100250626566415,2026-10-20,44,4.0,0.0,15.7,-0.8699999999999974,0.27853881278538806,0.18536885245901646,0.02624722165038018,3,0.15912163080863628,0.185,0.33603,0.28445998,0.17423001,-1.247655996938385,-0.20937058066268976,-0.3814623811958382,-0.19321477367192097,0.3035432890308327,42.004585,30.379021011283466,buy,-0.02766095351341868,1.180833439531031,
2,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,42232381440,0.8087719298245613,2026-11-02,57,4.0,0.0,5.7924999999999995,-1.3050000000000006,0.1763085399449036,0.0965589473048527,0.0058148522352017284,3,0.09074409506965098,0.097,0.3498,0.25030002,0.74211,0.5544529525990705,-0.11819762647942966,-0.30169039234441386,-0.16404346567687378,0.3054710553730613,37.596912,31.982650291690547,buy,-0.06846289211382213,1.2034420912977248,
3,TPR,"Tapestry, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",24353699840,0.7214285714285714,2026-11-05,60,4.0,0.0,15.190000000000001,0.7999999999999989,0.26923076923076916,0.08902042711234914,-0.02334394170674159,3,0.11236436881909073,0.089,0.19823,0.19086,1.97135,1.385767260516653,-0.11116356226862334,-0.2559594320260563,0.17352352528823434,0.3705583824833998,16.80055,13.768613931196207,buy,-0.067931465770558,1.2950841133730444,
4,NFLX,Netflix,Communication Services,Movies & Entertainment,325828280320,0.6646115288220551,2026-10-20,44,2.0,2.0,-3.5774999999999997,7.205,0.11111111111111116,0.13365374252899542,0.014360048035678696,3,0.11929369449331673,0.134,0.33381,0.28219,0.49541,0.5110874747049546,-0.0993686919353266,-0.3805659854315251,-0.3777237068076881,0.19693290734824287,24.606918,20.479414,buy,0.030099639977927407,0.8770071039225791,RECEIVABLES_OUTRUN
5,DECK,Deckers Brands,Consumer Discretionary,Footwear,11685765120,0.6414786967418545,2026-10-22,46,4.0,0.0,14.684999999999999,-6.16,0.010752688172043001,0.05701486100081077,-0.00644180365792546,3,0.06345666465873623,0.057,0.15233,0.18361,0.42558,-0.8517505459378262,-0.16324930018285055,-0.29047465002187756,-0.3074812765514128,0.43117962351813177,12.206258,10.260609708072282,buy,-0.046412949221395425,1.176257341058689,
6,VRSK,Verisk Analytics,Industrials,Research & Consulting Services,23802736640,0.5964285714285713,2026-10-28,52,4.0,0.0,5.2325,-3.4149999999999996,0.05319148936170226,0.04361894900336516,0.0024189870999045127,3,0.04119996190346065,0.044,0.45106998,0.28237,,2.681685977287305,-0.04204052633741162,-0.3133430429808114,-0.30576574528076617,0.2794332234778232,27.94923,21.360498574275766,buy,-0.13297025013992336,1.697571993224167,
7,ADBE,Adobe Inc.,Information Technology,Application Software,105937731584,0.5961152882205514,2026-09-10,4,4.0,0.0,2.515,0.6499999999999999,0.17786561264822143,0.12685169419376807,0.04262738076336259,3,0.08422431343040548,0.127,0.35327998,0.28689,0.62953997,0.14914176720983538,-0.00531748893124484,-0.27472373601737876,-0.22595913085483077,0.03777145272414972,15.246569,9.691922355137429,hold,-0.11206064782908338,1.4498547516945635,
8,BR,Broadridge Financial Solutions,Industrials,Data Processing & Outsourced Services,19995006976,0.5907268170426064,2026-11-03,58,4.0,0.0,11.04,-15.950000000000001,0.07605633802816891,0.07480391207514292,0.006462889860542775,3,0.06834102221460014,0.075,0.24609,0.15037,0.40916002,1.7228856154033607,-0.010176185839598784,-0.3060550698767446,-0.2955993017334434,0.2342375866118076,18.027111,14.934580421811395,buy,-0.025294020114006048,1.1967271433653504,
9,META,Meta Platforms,Communication Services,Interactive Media & Services,1571225468928,0.5789473684210527,2026-10-28,52,2.0,2.0,-8.492500000000001,59.355000000000004,-0.134453781512605,0.27959003283104633,0.07423051331441899,3,0.20535951951662734,0.28,0.34827,0.29834998,0.29848,0.20115818318464143,-0.007780894861466825,-0.20693180074643758,-0.173456945027455,0.22375281887669263,23.256788,17.642334558679632,strong_buy,-0.16705519000939975,1.9134335810155951,
10,GNRC,Generac,Industrials,Heavy Electrical Equipment,11054706688,0.5713032581453634,2026-10-28,52,2.0,2.0,13.600000000000001,52.94,0.7636363636363639,0.10586532399646043,0.05818843431686105,0,0.04767688967959938,0.106,0.17932,0.05817,0.09491,1.7902757056200138,-0.10145541288515014,-0.36607565579386336,0.05146488834142149,0.5152121203729871,43.06897,15.849947516361887,buy,-0.05195578298338708,2.122941962470226,
11,RL,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",20925284352,0.506641604010025,2026-11-05,60,4.0,0.0,8.3075,-0.34500000000000064,0.2175066312997347,0.14001512419289153,0.03039322355970353,3,0.109621900633188,0.14,0.18395,0.117639996,0.37537,0.6667712176751193,-0.03783842141592453,-0.15013043675728133,0.10674461754002351,0.2719414990699611,22.129807,16.792194583664113,buy,-0.04341195937834593,1.3403194628141215,
12,XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,25989416960,0.47932330827067676,2026-11-03,58,4.0,0.0,6.1125,0.3050000000000006,0.1587301587301586,0.015210777922642249,-0.01197645423466831,3,0.02718723215731056,0.015,0.16995001,0.111549996,0.09182999,0.8993933589484328,-0.14284211468399088,-0.29930341057603194,-0.2449517560526494,0.4559087562260882,26.821686,16.9225569722552,buy,-0.016390119595748993,1.2779960707269156,
13,SYK,Stryker Corporation,Health Care,Health Care Equipment,130111815680,0.47593984962406005,2026-10-29,53,3.0,1.0,-0.8749999999999998,-5.32,0.17891373801916943,0.09415476585851867,0.03149968426621563,3,0.06265508159230304,0.094,0.27015,0.14433,0.16508,1.6228307505422994,-0.10102801036996234,-0.2210416294491091,-0.22347140264572607,0.26308842355615103,35.224297,18.085187734551624,buy,-0.03810695833907979,1.481630463931349,
14,ODFL,Old Dominion,Industrials,Cargo Ground Transportation,38541373440,0.4726817042606516,2026-10-28,52,4.0,0.0,6.555000000000001,5.07,0.3228346456692912,0.10391241464946255,0.10305988061216853,0,0.0008525340372940171,0.104,0.28835,0.19443001,0.24818,-0.14718697177265114,-0.051665850286624404,-0.25156322472851966,0.25680494691749844,0.24035867034184544,35.744232,27.975615265079423,buy,-0.054015476913941526,1.2798427579419724,
15,EFX,Equifax,Industrials,Research & Consulting Services,20800700416,0.41967418546365914,2026-10-20,44,4.0,0.0,4.7749999999999995,2.4299999999999993,0.125,0.10611581001951853,0.02287741225497575,3,0.08323839776454278,0.106,0.17305,0.10729,0.14275,2.752689326983288,-0.05128081959215336,-0.31737235915389383,-0.25572027398225083,0.19928453171462324,31.170776,17.458435300925814,buy,-0.07707209713929464,2.332079838009835,
16,DOV,Dover Corporation,Industrials,Industrial Machinery & Supplies & Components,25977122816,0.4156641604010025,2026-10-22,46,4.0,0.0,1.6724999999999999,-2.1449999999999996,0.12295081967213117,0.06851558749253517,0.013602802514461665,2,0.0549127849780735,0.069,0.18691999,0.13475999,0.14914,0.7878596823707563,-0.07690764572500464,-0.1671584641055952,0.09247843470284112,0.2800128771771937,23.322853,16.56508341934983,none,-0.01903937740872447,1.2252972020268782,
17,ORLY,O'Reilly Automotive,Consumer Discretionary,Automotive Retail,71099564032,0.40595238095238095,2026-10-28,52,3.0,1.0,0.9975,1.525,0.10256410256410242,0.08109398818755476,0.01617299012899176,3,0.064920998058563,0.081,0.2015,0.1427,,2.23640894171449,-0.046431801037108866,-0.18484511557768535,-0.16327114790936503,0.22653317497572467,27.901587,24.071208832837634,buy,-0.038486606412246285,1.2411225736443234,
18,HSY,Hershey Company (The),Consumer Staples,Packaged Foods & Meats,34790277120,0.37493734335839596,2026-11-05,60,4.0,0.0,23.0025,2.015000000000004,0.5702479338842974,0.06600635326639437,0.01162339887013375,3,0.05438295439626062,0.066,0.23119,0.12242,0.32808998,1.885680925364621,-0.08754876082636809,-0.2557429329881511,-0.03739119119251588,0.18696972130920142,23.65437,17.546222381497856,buy,-0.0845427364682789,1.7840161922548212,
19,IR,Ingersoll Rand,Industrials,Industrial Machinery & Supplies & Components,29627635712,0.3348370927318296,2026-10-29,53,3.0,1.0,3.5925,0.9049999999999998,0.07499999999999996,0.08522697176757243,0.028876796876998068,3,0.05635017489057437,0.085,0.16882999,0.12076,0.0947,1.848910383101637,-0.06871729848719443,-0.2262442130613883,-0.03490152168513172,0.26047667929106977,31.553719,19.493168155810444,none,-0.021520858848322354,1.4067354811802733,
20,WM,Waste Management,Industrials,Environmental & Facilities Services,89756049408,0.26152882205513783,2026-10-26,50,2.0,2.0,0.895,4.33,0.05208333333333348,0.039502332814929986,-0.020929190312167556,3,0.06043152312709754,0.04,0.18986,0.11115,0.29841,2.9327244508118433,-0.023071277562107917,-0.10424104809271584,-0.010892108497094766,0.19110458677139164,59.248024,23.961510933896058,buy,-0.07951130063040483,2.284262180161234,
21,PEP,PepsiCo,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,188002582528,0.24298245614035086,2026-10-08,32,3.0,1.0,1.4325,0.5149999999999999,0.037735849056603765,0.06402358532077801,0.025015187886581414,3,0.039008397434196596,0.064,0.16836001,0.10785,0.51508,2.250714798822134,-0.054621157329716175,-0.1681647697252746,-0.015538063896182508,0.12620790889295908,18.06168,15.3341525440223,hold,-0.027627865069368467,1.2875322935604248,
