rank,ticker,security,gics_sector,gics_sub_industry,marketCap,composite_score,next_earnings,days_to_earnings,eps_beats_4q,eps_misses_4q,eps_surprise_avg_4q,eps_surprise_trend,eps_yoy_q,rev_yoy_q,rev_accel,rev_up_years,rev_growth_ttm,revenueGrowth,operatingMargins,profitMargins,returnOnEquity,net_debt_ebitda,dist_sma200,dist_52w_high,ret_12m,analyst_upside,trailingPE,forwardPE,recommendationKey,accrual_ratio,cfo_ni,eq_flags
1,TPR,"Tapestry, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",22930042880,0.7228021978021978,2026-11-05,42.0,4.0,0.0,15.190000000000001,0.7999999999999989,0.26923076923076916,0.08902042711234914,-0.015826305105841598,3,0.10484673221819074,0.089,0.19823,0.19086,1.97135,1.385767260516653,-0.19890205927747584,-0.3268059180683829,-0.019764531268694818,0.506650952687054,15.818432,12.417509242647254,buy,-0.067931465770558,1.2950841133730444,
2,LVS,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming,25895092224,0.7191758241758242,2026-10-21,27.0,3.0,1.0,8.477500000000001,-18.945,-0.25316455696202544,-0.006614173228346454,-0.09936109569235985,3,0.09274692246401339,-0.007,0.19658001,0.12588,1.22869,2.566932437964286,-0.25095698353885454,-0.42615186346897893,-0.25675026802697065,0.5072319997414689,15.496124,11.162697668367914,buy,-0.09602720371656409,2.160972785176607,RECEIVABLES_OUTRUN
3,VRT,Vertiv,Industrials,Electrical Components & Equipment,96012197888,0.7091483516483515,2026-10-21,27.0,4.0,0.0,13.0025,-3.915000000000001,0.6000000000000001,0.2411584094613548,0.049493460692863867,3,0.19166494876849094,0.241,0.20362,0.15088001,0.43943,0.08496346829749289,-0.04927254771459477,-0.3384558229397262,0.7342960436270385,0.35924849931360603,56.55102,27.271451205854394,strong_buy,-0.12332792288013503,1.9366050808314088,INVENTORY_BUILD
4,NFLX,Netflix,Communication Services,Movies & Entertainment,298929225728,0.7046153846153844,2026-10-20,26.0,2.0,2.0,-4.96,4.4399999999999995,0.11111111111111116,0.13365374252899542,0.02219561449948637,3,0.11145812802950905,0.134,0.33381,0.28219,0.49541,0.5110874747049546,-0.16030757990288858,-0.42514198749488574,-0.41859422265298074,0.30845164239608325,22.575472,18.686401924975627,buy,0.030099639977927407,0.8770071039225791,RECEIVABLES_OUTRUN
5,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,40308359168,0.701923076923077,2026-11-02,39.0,4.0,0.0,5.7924999999999995,-1.3050000000000006,0.1763085399449036,0.0965589473048527,0.011020433505915417,3,0.08553851379893729,0.097,0.3498,0.25030002,0.74211,0.5544529525990705,-0.12314661352862277,-0.31911615730397014,-0.20443178356405844,0.33888179351359127,35.98101,31.184549563635077,buy,-0.06846289211382213,1.2034420912977248,
6,BKNG,Booking Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",126156775424,0.7,2026-10-27,33.0,4.0,0.0,3.54,3.08,0.144144144144144,0.0814945572227126,-0.0021080584322916707,3,0.08360261565500426,0.081,0.34412,0.25527,,0.35628553404507546,-0.15050597372222874,-0.29458925556247206,-0.27925850915276884,0.5316471414267625,18.655556,12.598304969847122,buy,-0.08779776695490839,1.3675960604799555,
7,ADBE,Adobe Inc.,Information Technology,Application Software,95674277888,0.6247252747252748,2026-12-09,76.0,4.0,0.0,2.0725,-0.935,0.15442561205273075,0.12685169419376807,0.01474859174740728,3,0.11210310244636079,0.129,0.34822,0.28048,0.61902,0.115120433634354,-0.08739269007235428,-0.3347061660303706,-0.33890899989463685,0.15565601885651326,13.29779,8.697559088222505,hold,-0.11206064782908338,1.4498547516945635,
8,ISRG,Intuitive Surgical,Health Care,Health Care Equipment,140921503744,0.5951923076923077,2026-10-20,26.0,4.0,0.0,15.7,-0.8699999999999974,0.27853881278538806,0.18536885245901646,0.03643346677237003,3,0.14893538568664644,0.185,0.33603,0.28445998,0.17423001,-1.247655996938385,-0.12156163111252005,-0.3281605731714624,-0.09213168607601419,0.1959448521188456,45.054985,32.94030314777448,buy,-0.02766095351341868,1.180833439531031,
9,BRO,Brown & Brown,Financials,Insurance Brokers,21756364800,0.5923076923076923,2026-10-26,32.0,3.0,1.0,4.54,-7.17,0.03883495145631066,0.3242594075260208,0.10802938238418136,3,0.21623002514183942,0.324,0.41838002,0.18084998,0.10023,2.4716458755186723,-0.09776210980526279,-0.35080450818066633,-0.32086777746118533,0.23987032502518657,20.77316,12.78714011505324,hold,-0.011346649136393926,1.2614107883817427,RECEIVABLES_OUTRUN
10,CASY,Casey's,Consumer Staples,Food Retail,22082961408,0.5906593406593406,2026-12-08,75.0,4.0,0.0,15.8325,8.535,0.27729636048526873,0.24331162885205648,0.11799600382352615,2,0.12531562502853033,0.243,0.065,0.041389998,0.19983,1.5113281004514318,-0.1812211598613117,-0.3476253014532351,0.09557626326267954,0.3397786798663074,28.766489,25.468427343783098,buy,-0.07047477880517751,1.7975823388064125,
