rank,ticker,security,gics_sector,gics_sub_industry,marketCap,composite_score,next_earnings,days_to_earnings,eps_beats_4q,eps_misses_4q,eps_surprise_avg_4q,eps_surprise_trend,eps_yoy_q,rev_yoy_q,rev_accel,rev_up_years,beat_up_rate,n_beats_measured,reaction_avg_move,reaction_avg_abs_move,reaction_worst,reaction_last4,ret_21d,run_into_print_flag,rev_growth_ttm,revenueGrowth,operatingMargins,profitMargins,returnOnEquity,net_debt_ebitda,dist_sma200,dist_52w_high,ret_12m,analyst_upside,trailingPE,forwardPE,recommendationKey,accrual_ratio,cfo_ni,eq_flags
1,GS,Goldman Sachs,Financials,Investment Banking & Brokerage,277040824320,0.7685763888888889,2026-10-13,25,4.0,0.0,20.485,11.39,0.9230064161319891,0.1437392112601248,-0.04333928666496023,2,0.875,8.0,0.029977919535564987,0.03506829003038865,-0.02036148197929466,"+9%, +2%, +5%, -2%",-0.08105953462796689,False,0.18707849792508502,0.425,0.42176998,0.31039,0.16902,,0.0037357388627494714,-0.17007653517551558,0.23506899491066036,0.19988022234304914,14.493069,12.85206760426978,hold,0.03024283385702499,-2.20234669028116,"LOW_CASH_CONVERSION,RECEIVABLES_OUTRUN"
2,LLY,Lilly (Eli),Health Care,Pharmaceuticals,1027235446784,0.7644791666666666,2026-10-29,41,4.0,0.0,20.365,12.440000000000001,0.32805071315372447,0.4766679521789432,0.13620623956396538,3,0.8333333333333334,6.0,7.076581184736752e-05,0.08027232927781572,-0.1413642963685544,"+5%, +10%, +10%, +4%",-0.059792972539084,False,0.3404617126149778,0.477,0.54222,0.33528998,1.02286,1.1019253075879267,0.0840103534372898,-0.09989536203543958,0.5165333719931393,0.1496202555973083,38.1729,24.341659762391792,buy,-0.011280990240356307,1.0513567342537962,
3,STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals",182626140160,0.7454166666666667,2026-10-27,39,4.0,0.0,11.7975,5.255000000000001,1.204633204633205,0.48486088379705405,0.23736057501703578,2,0.625,8.0,0.05960601757828138,0.10978548572067376,-0.08530092568381875,"-9%, +11%, +19%, +19%",-0.11126725014154837,False,0.24750030878001827,0.485,0.4307,0.26108998,3.7152898,0.4873389181742822,0.30416929225851375,-0.26538093499434456,2.835367949967741,0.4007694808565303,56.4789,14.504419088182932,strong_buy,-0.054459572103362046,1.153894472361809,RECEIVABLES_OUTRUN
4,MS,Morgan Stanley,Financials,Investment Banking & Brokerage,319641649152,0.7176041666666667,2026-10-14,26,4.0,0.0,19.0825,-6.565000000000001,0.6244131455399062,0.2742886439374519,0.050273181886039575,3,0.75,8.0,0.02655906791511997,0.040872719652187806,-0.044541738113604845,"-4%, +5%, +6%, +5%",-0.06449091511140526,False,0.22401546205141232,0.28,0.41567,0.25897,0.17969999,,0.06416425473739018,-0.10461463026977325,0.33581727210942547,0.16169695871017664,16.333868,14.918229313175859,buy,0.023600436722311234,-0.7733564872240138,"LOW_CASH_CONVERSION,RECEIVABLES_OUTRUN"
5,BLK,BlackRock,Financials,Asset Management & Custody Banks,171243405312,0.7168055555555555,2026-10-14,26,4.0,0.0,7.297499999999999,4.374999999999999,0.15435684647302894,0.3062880324543611,0.12598628760422637,2,0.875,8.0,0.030305445669045056,0.04499331171539564,-0.058751464185402336,"+7%, +3%, +6%, +3%",-0.08228117864567264,False,0.18030174485013473,0.306,0.35079,0.24089001,0.122779995,0.10120548453503023,0.0037640985122144865,-0.10486220135903968,-0.03790035484085208,0.2555624018420113,24.875147,16.38868439259269,strong_buy,0.016367556500023268,0.5988442822384428,LOW_CASH_CONVERSION
6,APH,Amphenol,Information Technology,Electronic Components,193257832448,0.6997916666666667,2026-10-28,40,4.0,0.0,11.175,2.799999999999999,0.6666666666666667,0.5838910829349409,0.19230506120397095,2,0.875,8.0,0.029642239308419374,0.06015350950277741,-0.12204508077743215,"+6%, +3%, -12%, +5%",-0.017735173912128865,False,0.3915860217309699,0.55,0.29779,0.17729001,0.38115,1.4151123768447922,0.07047594202520524,-0.11104810014583777,0.3238409704554861,0.2666161352703187,38.605915,23.938324838950752,strong_buy,-0.03892619307182648,1.28346209830926,
7,INCY,Incyte,Health Care,Biotechnology,25868285952,0.6976736111111111,2026-10-27,39,3.0,1.0,27.7575,23.554999999999996,0.968152866242038,0.37721025166820366,0.18574709401256873,3,0.8,5.0,0.024665274787842306,0.06892713838497633,-0.08236261421699864,"+9%, +2%, -8%, -2%",0.033611415605809825,False,0.19146315765563493,0.377,0.41899,0.27706,0.30667,-2.315524324154229,0.2094057563749141,-0.017778727464130784,0.5210965485765542,0.0009334528354032479,15.892902,14.362759309109041,buy,-0.053646848718646944,1.227811878443273,
8,CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment,367082569728,0.6880208333333333,2026-10-29,41,4.0,0.0,17.5175,16.095,0.7309322033898307,0.23984549459834636,0.12107306900788939,1,0.8,5.0,0.029721484899340622,0.05040744743699066,-0.04641042156157271,"+6%, +10%, +3%, +12%",-0.05030502698229067,False,0.11877242559045698,0.24,0.22183001,0.14511,0.56972003,2.412220905491749,0.022565565136045684,-0.2487074947275386,0.8284847383347682,0.2216914372591816,33.666527,24.66447422621436,buy,-0.028248001907388017,1.25129103651789,
9,BNY,BNY Mellon,Financials,Asset Management & Custody Banks,103824703488,0.6867013888888889,2026-10-15,27,4.0,0.0,10.0625,7.114999999999999,0.268041237113402,0.13846810326434822,0.030638097087586358,3,0.875,8.0,0.02507707674050455,0.03014913517376719,-0.020288233733050554,"+5%, +2%, +2%, -2%",-0.06655272915736632,False,0.10783000617676186,0.131,0.40046,0.29413998,0.14124,,0.14065666943628718,-0.07170585008507857,0.47708408896836074,0.09649519876661272,17.918034,14.930411416870982,buy,0.005300296944346882,0.5544371749706425,LOW_CASH_CONVERSION
10,MPWR,Monolithic Power Systems,Information Technology,Semiconductors,57476669440,0.6683333333333332,2026-10-29,41,4.0,0.0,4.4375,5.704999999999999,0.5439429928741093,0.4755948923671405,0.22818154613931596,3,0.75,8.0,0.025906667512523948,0.08851082359137687,-0.1745034353075171,"+8%, +6%, +6%, -8%",-0.12271418042961668,False,0.24741334622782452,0.476,0.30989,0.24500999,0.21979,-1.3944338159748362,-0.07158235752223518,-0.3068397671967593,0.3742548504910339,0.5730433737990412,69.95096,33.54047673976403,strong_buy,-0.004122462570236568,1.0221842409476811,RECEIVABLES_OUTRUN
