rank,ticker,security,gics_sector,gics_sub_industry,marketCap,composite_score,next_earnings,days_to_earnings,eps_beats_4q,eps_misses_4q,eps_surprise_avg_4q,eps_surprise_trend,eps_yoy_q,rev_yoy_q,rev_accel,rev_up_years,beat_up_rate,n_beats_measured,reaction_avg_move,reaction_avg_abs_move,reaction_worst,reaction_last4,ret_21d,run_into_print_flag,rev_growth_ttm,revenueGrowth,operatingMargins,profitMargins,returnOnEquity,net_debt_ebitda,dist_sma200,dist_52w_high,ret_12m,analyst_upside,trailingPE,forwardPE,recommendationKey,accrual_ratio,cfo_ni,eq_flags
1,GS,Goldman Sachs,Financials,Investment Banking & Brokerage,274283446272,0.7816600790513835,2026-10-13,22,4.0,0.0,20.485,11.39,0.9230064161319891,0.1437392112601248,-0.042522616814374636,2,0.875,8.0,0.02997797017957264,0.035068340674396306,-0.02036148197929466,"+9%, +2%, +5%, -2%",-0.0734463683848614,False,0.18626182807449942,0.425,0.42176998,0.31039,0.16902,,-0.0070232094719206994,-0.1783367547722684,0.2093974518046544,0.2119426751592357,14.555006,12.724152,hold,0.03024283385702499,-2.20234669028116,"LOW_CASH_CONVERSION,RECEIVABLES_OUTRUN"
2,INCY,Incyte,Health Care,Biotechnology,25400053760,0.7425889328063241,2026-10-27,36,3.0,1.0,27.7575,23.554999999999996,0.968152866242038,0.37721025166820366,0.187547631250375,3,0.8,5.0,0.024665274787842306,0.06892713838497633,-0.08236261421699864,"+9%, +2%, -8%, -2%",-0.024597210493371824,False,0.18966262041782866,0.377,0.41899,0.27706,0.30667,-2.315524324154229,0.1862068078142698,-0.03555757236680468,0.47771218218129774,0.019384985146699174,15.9834175,14.102782725236432,buy,-0.053646848718646944,1.227811878443273,
3,MS,Morgan Stanley,Financials,Investment Banking & Brokerage,318165319680,0.7310968379446641,2026-10-14,23,4.0,0.0,19.0825,-6.565000000000001,0.6244131455399062,0.2742886439374519,0.05159121832018654,3,0.75,8.0,0.026559120547595155,0.040872717149305654,-0.044541738113604845,"-4%, +5%, +6%, +5%",-0.05438077827019616,False,0.22269742561726535,0.28,0.41567,0.25897,0.17969999,,0.05822990416971585,-0.10875016690438866,0.31613227937930555,0.16708741170401398,16.36349,14.849326134218224,buy,0.023600436722311234,-0.7733564872240138,"LOW_CASH_CONVERSION,RECEIVABLES_OUTRUN"
4,BLK,BlackRock,Financials,Asset Management & Custody Banks,173813792768,0.7287747035573121,2026-10-14,23,4.0,0.0,7.297499999999999,4.374999999999999,0.15435684647302894,0.3062880324543611,0.12758067665072748,2,0.875,8.0,0.030305454753846578,0.04499334566576127,-0.05875156364765877,"+7%, +3%, +6%, +3%",-0.07217936009281134,False,0.17870735580363362,0.306,0.35079,0.24089001,0.122779995,0.10120548453503023,0.018580447130760236,-0.09142607314695461,-0.03458113698079324,0.23699495574782992,25.6419,16.634682455555534,strong_buy,0.016367556500023268,0.5988442822384428,LOW_CASH_CONVERSION
5,APH,Amphenol,Information Technology,Electronic Components,191235735552,0.7023517786561265,2026-10-28,37,4.0,0.0,11.1775,2.795,0.6585365853658538,0.5838910829349409,0.19660754985180517,2,0.875,8.0,0.029642261301746117,0.060153531496104154,-0.12204508077743215,"+6%, +3%, -12%, +5%",-0.006024014503086539,False,0.3872835330831357,0.55,0.29779,0.17729001,0.38115,1.4151123768447922,0.05867412502172553,-0.1203493667152793,0.31695909221001983,0.2800091050125366,38.775,23.687853932167513,strong_buy,-0.03892619307182648,1.28346209830926,
6,HWM,Howmet Aerospace,Industrials,Aerospace & Defense,91592720384,0.6901877470355732,2026-11-05,45,4.0,0.0,7.55,1.92,0.4615384615384617,0.2406234778373113,0.10442635689264601,3,0.75,8.0,0.035894355071982395,0.05863693091864387,-0.06438002866944303,"-3%, +6%, +6%, +2%",-0.18981942546904307,False,0.1361971209446653,0.241,0.28504,0.20522,0.34732,1.4677881846373972,-0.06861183891394396,-0.21520586721698765,0.241427093426553,0.4705487991146222,49.497845,35.564357716461515,strong_buy,-0.02881014116969173,1.1870657402458578,
7,MPWR,Monolithic Power Systems,Information Technology,Semiconductors,59846348800,0.6667292490118577,2026-10-29,38,4.0,0.0,4.4375,5.704999999999999,0.5439429928741093,0.4755948923671405,0.23045522138877583,3,0.75,8.0,0.02590663660662254,0.08851077858186537,-0.1745034353075171,"+8%, +6%, +6%, -8%",-0.06333161420508815,False,0.24513967097836464,0.476,0.30989,0.24500999,0.21979,-1.3944338159748362,-0.03443280873838672,-0.27826177168683375,0.3972624842240664,0.5107570423982315,74.075424,34.92330140026216,strong_buy,-0.004122462570236568,1.0221842409476811,RECEIVABLES_OUTRUN
8,BNY,BNY Mellon,Financials,Asset Management & Custody Banks,104347148288,0.6589229249011856,2026-10-15,24,4.0,0.0,10.0625,7.114999999999999,0.268041237113402,0.13846810326434822,0.03134419186139459,3,0.875,8.0,0.025077101664374463,0.030149177927615983,-0.020288305052966082,"+5%, +2%, +2%, -2%",-0.037368561754974716,False,0.10712391140295363,0.131,0.40046,0.29413998,0.14124,,0.14454304582664546,-0.06703472031816482,0.4634301492037134,0.09100531455143224,17.945158,15.005540344917033,buy,0.005300296944346882,0.5544371749706425,LOW_CASH_CONVERSION
9,STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals",195282829312,0.6579347826086956,2026-10-27,36,4.0,0.0,11.7975,5.255000000000001,1.204633204633205,0.48486088379705405,0.24059936627794887,2,0.625,8.0,0.05960597840542266,0.1097855043251436,-0.08530092568381875,"-9%, +11%, +19%, +19%",0.0315052134929219,False,0.2442615175191052,0.485,0.4307,0.26108998,3.7152898,0.4873389181742822,0.38790396187011766,-0.21446903134103545,3.0583092910116365,0.30998268352425984,61.739037,15.509630603176808,none,-0.054459572103362046,1.153894472361809,RECEIVABLES_OUTRUN
10,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,40308359168,0.620612648221344,2026-11-02,42,4.0,0.0,5.7924999999999995,-1.3050000000000006,0.1763085399449036,0.0965589473048527,0.010156289882693237,3,0.75,8.0,0.06810347038389848,0.10408509248255042,-0.09789832060628689,"+4%, +3%, -5%, +15%",-0.08991465174840962,False,0.08640265742215947,0.097,0.3498,0.25030002,0.74211,0.5544529525990705,-0.14359601854488213,-0.3326420425935722,-0.20161968980509248,0.3660179973370705,35.98101,30.56506263538681,buy,-0.06846289211382213,1.2034420912977248,
11,REGN,Regeneron Pharmaceuticals,Health Care,Biotechnology,80785489920,0.5743083003952568,2026-10-28,37,4.0,0.0,18.8525,8.665000000000003,0.1086113266097748,0.16734682772880616,0.08129595507226273,3,0.7142857142857143,7.0,0.005709061820467612,0.061308136775176644,-0.09166758470120484,"+6%, -6%, +2%, +12%",-0.06658823257846092,False,0.08605087265654343,0.167,0.33106,0.27865,0.14043,-1.1245321537938073,0.07197469419251012,-0.07884704928343522,0.34735200272593203,0.08213980559269785,19.412867,12.94598366023494,buy,-0.00882053488564074,1.0814563263797445,
12,GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,4212111966208,0.5606571146245058,2026-10-28,37,4.0,0.0,85.2125,136.775,2.9437229437229435,0.2423362508814868,0.09377276018363156,3,0.625,8.0,0.0033400560028570697,0.043318715966163504,-0.06937562198833502,"-7%, +10%, -2%, +3%",0.008585233273652682,False,0.14856349069785524,0.242,0.34033,0.54771,0.48676,-0.7027037421946938,0.02573889720327971,-0.13582346815320767,0.3820655938302435,0.22625938709475335,17.272316,23.142925246078576,strong_buy,0.08220297801460076,0.7603243176839131,HIGH_ACCRUALS
13,FTNT,Fortinet,Information Technology,Systems Software,124613926912,0.5602272727272728,2026-11-04,44,4.0,0.0,19.755000000000003,13.650000000000002,0.40625,0.25638036809815956,0.10990571248148595,3,0.625,8.0,0.0038224341426063846,0.09578751988227843,-0.2203354563662312,"+2%, +20%, +5%, -6%",0.11115465852758133,False,0.1464746556166736,0.256,0.33595002,0.28173,1.17442,-1.3514908365454144,0.4913616808758614,-0.017015872567296975,1.115331852051893,-0.03250445393856283,59.80282,44.95773603061617,hold,-0.11863854962187102,1.6014051963974159,
