rank,ticker,security,gics_sector,gics_sub_industry,marketCap,composite_score,next_earnings,days_to_earnings,eps_beats_4q,eps_misses_4q,eps_surprise_avg_4q,eps_surprise_trend,eps_yoy_q,rev_yoy_q,rev_accel,rev_up_years,rev_growth_ttm,revenueGrowth,operatingMargins,profitMargins,returnOnEquity,net_debt_ebitda,dist_sma200,dist_52w_high,ret_12m,analyst_upside,trailingPE,forwardPE,recommendationKey,accrual_ratio,cfo_ni,eq_flags
1,SNDK,Sandisk,Information Technology,"Technology Hardware, Storage & Peripherals",262356500480,0.9249999999999998,2026-11-06,45,4.0,0.0,46.3125,-19.235,134.34482758620692,3.7159389794844815,2.7539472392285553,3,0.9619917402559262,3.716,0.78472,0.56465,0.9164,-0.36149638544311397,0.641790739208731,-0.2434089873025964,16.868311576531344,0.2028975809329745,24.272825,6.67357666540546,buy,-0.013411473008001802,1.0208169334382926,
2,MU,Micron Technology,Information Technology,Semiconductors,1147237564416,0.9154326923076922,2026-09-30,8,4.0,0.0,20.28,14.040000000000001,12.146596858638743,3.457155144608107,2.0419912300059346,2,1.4151639146021724,3.457,0.80370003,0.55906,0.66638,-0.287971626575836,0.5871446973464689,-0.1628298619058135,5.3593371342040825,0.4895758202237632,22.9352,6.489500922014627,strong_buy,-0.009063145560893892,1.019081020032099,RECEIVABLES_OUTRUN
3,NVDA,Nvidia,Information Technology,Semiconductors,5367153557504,0.7895192307692307,2026-11-17,56,4.0,0.0,5.12,1.459999999999999,1.1142857142857143,1.0585114348672526,0.4229167202344437,3,0.6355947146328089,1.059,0.66236997,0.63663,1.17211,-0.11730247270052462,0.12245463984701122,-0.054984084829700186,0.3083712318848846,0.4743329900615012,28.099874,14.173006272432694,strong_buy,0.25387191656616315,0.6966025331943861,"HIGH_ACCRUALS,RECEIVABLES_OUTRUN"
4,ANET,Arista Networks,Information Technology,Communications Equipment,251475591168,0.775721153846154,2026-11-03,42,4.0,0.0,9.015,4.88,0.3972602739726028,0.3768595791001452,0.1303197206343567,3,0.24653985846578852,0.377,0.45393002,0.38371,0.31476,-2.8759589654015976,0.28544332981373355,-0.05277910028670574,0.3958975392157511,0.20886739925690412,63.298412,38.639373881721234,strong_buy,-0.06270137600206686,1.3120209662265736,
5,NEM,Newmont,Materials,Gold,130036170752,0.7372596153846154,2026-10-22,30,4.0,0.0,20.555,-1.9800000000000004,0.46853146853146876,0.1506488621403046,-0.04366726187222292,2,0.1943161240125275,0.151,0.51569,0.33363998,0.25905,-0.19996484614817098,0.12433376364965087,-0.08489786931340848,0.5830155104359205,0.10028114391581,15.542822,12.05085235760099,buy,-0.07146782972536922,1.4688844945911363,
6,MS,Morgan Stanley,Financials,Investment Banking & Brokerage,318165319680,0.7045673076923077,2026-10-14,22,4.0,0.0,19.0825,-6.565000000000001,0.6244131455399062,0.2742886439374519,0.05202993323368421,3,0.22225871070376768,0.28,0.41567,0.25897,0.17969999,,0.05822990416971585,-0.10875016690438866,0.31613227937930555,0.16708741170401398,16.36349,14.849326134218224,buy,0.023600436722311234,-0.7733564872240138,"LOW_CASH_CONVERSION,RECEIVABLES_OUTRUN"
7,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,4274851676160,0.6963221153846155,2026-10-28,36,4.0,0.0,84.9275,135.965,2.9437229437229435,0.2423362508814868,0.0942004566392296,3,0.1481357942422572,0.242,0.34033,0.54771,0.48676,-0.7027037421946938,0.03694292318223269,-0.1307595289172021,0.4044365385614017,0.2249220676693271,17.54719,23.48764057418335,strong_buy,0.08220297801460076,0.7603243176839131,HIGH_ACCRUALS
8,GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,4212111966208,0.6867067307692307,2026-10-28,36,4.0,0.0,85.2125,136.775,2.9437229437229435,0.2423362508814868,0.0942004566392296,3,0.1481357942422572,0.242,0.34033,0.54771,0.48676,-0.7027037421946938,0.02573889720327971,-0.13582346815320767,0.3820655938302435,0.22625938709475335,17.272316,23.142925246078576,strong_buy,0.08220297801460076,0.7603243176839131,HIGH_ACCRUALS
9,KLAC,KLA Corporation,Information Technology,Semiconductor Materials & Equipment,231245725696,0.6839423076923077,2026-10-28,36,4.0,0.0,2.6175,2.405,0.1170212765957448,0.15208012244148428,0.0642857207373948,2,0.08779440170408948,0.152,0.42486,0.35574,0.87496,0.2063343570642209,0.01742796276496117,-0.4127139903299869,0.7976582061507618,0.32080469373751686,48.357925,26.395184819216205,buy,0.040429329553457655,0.8576434279331394,RECEIVABLES_OUTRUN
10,AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,352809615360,0.6757211538461538,2026-11-12,51,4.0,0.0,5.2875,-0.9649999999999999,0.41129032258064524,0.2482881402355519,0.15632277763995228,3,0.09196536259559962,0.248,0.33736,0.30052,0.41068,-0.18581985343943003,0.0699033256276278,-0.38444621595288897,1.509565480289568,0.44158555332458804,38.325,24.08968239687361,strong_buy,0.022410044639985593,0.9060105751591669,
