rank,ticker,security,gics_sector,gics_sub_industry,marketCap,composite_score,next_earnings,days_to_earnings,eps_beats_4q,eps_misses_4q,eps_surprise_avg_4q,eps_surprise_trend,eps_yoy_q,rev_yoy_q,rev_accel,rev_up_years,rev_growth_ttm,revenueGrowth,operatingMargins,profitMargins,returnOnEquity,net_debt_ebitda,dist_sma200,dist_52w_high,ret_12m,analyst_upside,trailingPE,forwardPE,recommendationKey,accrual_ratio,cfo_ni,eq_flags
1,SNDK,Sandisk,Information Technology,"Technology Hardware, Storage & Peripherals",239602057216,0.9574945887445887,2026-11-06,83,4.0,0.0,46.3125,-19.235,134.34482758620692,2.510324483775811,0.7573672421714606,2,1.7529572416043506,3.716,0.78494,0.56465,0.9164,-0.37742727242255253,0.8169276229320936,-0.2971691711556478,33.90980735899841,0.2843109961021195,22.270456,6.190012944748362,buy,-0.008789745297153321,1.0292877745728866,
2,MU,Micron Technology,Information Technology,Semiconductors,1097386098688,0.913560606060606,2026-09-23,39,4.0,0.0,20.28,14.040000000000001,12.146596858638743,3.457155144608107,2.0062046676327805,2,1.4509504769753265,3.457,0.80370003,0.55906,0.66638,-0.287971626575836,0.7588399709477935,-0.19920779319423476,6.83149257342865,0.5457842676581943,21.978285,6.273242326615413,strong_buy,-0.009063145560893892,1.019081020032099,RECEIVABLES_OUTRUN
3,WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals",175374270464,0.8434902597402598,2026-11-05,82,4.0,0.0,11.21,-0.9799999999999986,1.144578313253012,0.45466434176111603,0.09762651991237647,2,0.35703782184873956,0.438,0.42861,0.72947,1.30853,-0.10595095505393602,0.45535597658747395,-0.31817267985753905,5.706703280811626,0.30134633625309637,20.964153,16.050734614913868,buy,0.20373730621080444,0.5066296638914586,"HIGH_ACCRUALS,LOW_CASH_CONVERSION"
4,LLY,Lilly (Eli),Health Care,Pharmaceuticals,1051943960576,0.8258116883116883,2026-10-29,75,4.0,0.0,20.365,12.440000000000001,0.32805071315372447,0.4766679521789432,0.09255310828920993,3,0.38411484388973327,0.477,0.54222,0.33528998,1.02286,1.1019253075879267,0.1349326581134267,-0.043469300426180246,0.8020131820104197,0.11078096362684198,39.682583,24.93457672215294,buy,-0.011280990240356307,1.0513567342537962,
5,ANET,Arista Networks,Information Technology,Communications Equipment,250756710400,0.8017586580086579,2026-11-03,80,4.0,0.0,9.015,4.88,0.3972602739726028,0.3768595791001452,0.09883057403844742,3,0.2780290050616978,0.377,0.45393002,0.38371,0.31476,-2.8759589654015976,0.34104700095701945,-0.05548690107259502,0.4406203553205037,0.21625179102658598,62.91772,38.534295419543305,strong_buy,-0.06270137600206686,1.3120209662265736,
6,NVDA,Nvidia,Information Technology,Semiconductors,5453600260096,0.7745238095238096,2026-08-26,11,4.0,0.0,4.605,1.65,1.308641975308642,0.8522763378875222,0.4148144498300066,3,0.4374618880575156,0.852,0.65596,0.62966,1.14288,-0.2438343463332097,0.1561667722801412,-0.04376679036193043,0.24158759052383738,0.34494392909339244,34.480858,17.59288028613897,strong_buy,0.1765663013869539,0.7872040497954427,"HIGH_ACCRUALS,INVENTORY_BUILD"
7,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,4230334382080,0.7360579004329003,2026-10-28,74,4.0,0.0,84.9275,135.965,2.9437229437229435,0.2423362508814868,0.07772085275665397,3,0.16461539812483283,0.242,0.34033,0.54771,0.48676,-0.7027037421946938,0.04468675845062409,-0.14036413769796185,0.7176013032277617,0.23746911694973138,17.364458,23.456904586095444,strong_buy,0.08220297801460076,0.7603243176839131,HIGH_ACCRUALS
8,GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,4201472065536,0.7321617965367965,2026-10-28,74,4.0,0.0,85.215,136.76999999999998,2.9437229437229435,0.2423362508814868,0.07772085275665397,3,0.16461539812483283,0.242,0.34033,0.54771,0.48676,-0.7027037421946938,0.04031439892856192,-0.13856564929669535,0.6968971545278577,0.22777132068693606,17.237331,23.29686557946641,strong_buy,0.08220297801460076,0.7603243176839131,HIGH_ACCRUALS
9,LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment,415889031168,0.723685064935065,2026-10-21,67,4.0,0.0,6.984999999999999,2.0,0.368421052631579,0.29988921747003183,0.07966843740320884,2,0.220220780066823,0.3,0.37390998,0.31272,0.65066004,-0.16867845618279478,0.3331740799012306,-0.23300949472571186,2.1309669855172855,0.11004788861616044,57.801735,28.757976732520632,strong_buy,0.06274045263016473,0.8062405683048798,"HIGH_ACCRUALS,RECEIVABLES_OUTRUN"
10,APH,Amphenol,Information Technology,Electronic Components,206043856896,0.7182900432900433,2026-10-28,74,4.0,0.0,11.175,2.799999999999999,0.6666666666666667,0.5838910829349409,0.14161043314344157,2,0.4422806497914993,0.55,0.29779,0.17729001,0.38115,1.4151123768447922,0.1623939627101061,-0.05223460941067082,0.5319044146743732,0.18520028290713397,41.882206,25.91688509465867,strong_buy,-0.03892619307182648,1.28346209830926,
11,MS,Morgan Stanley,Financials,Investment Banking & Brokerage,341689925632,0.7125811688311688,2026-10-14,60,4.0,0.0,19.0825,-6.565000000000001,0.6244131455399062,0.2742886439374519,0.03513438176288797,3,0.23915426217456393,0.28,0.41567,0.25897,0.17969999,,0.172912082005527,-0.043725626840521614,0.5043815867957397,0.08860438597519593,17.54318,15.94202904476556,buy,0.023600436722311234,-0.7733564872240138,"LOW_CASH_CONVERSION,RECEIVABLES_OUTRUN"
12,VRT,Vertiv,Industrials,Electrical Components & Equipment,113124917248,0.6875324675324674,2026-10-21,67,4.0,0.0,13.0025,-3.915000000000001,0.6000000000000001,0.2411584094613548,0.018666967602759543,3,0.22249144185859526,0.241,0.20362,0.15088001,0.43943,0.08496346829749289,0.16982505208064147,-0.21882588793857405,1.1409295235647248,0.1508094344350328,66.63039,32.299479597453626,strong_buy,-0.12332792288013503,1.9366050808314088,INVENTORY_BUILD
13,GS,Goldman Sachs,Financials,Investment Banking & Brokerage,302649376768,0.684767316017316,2026-10-13,59,4.0,0.0,20.485,11.39,0.9230064161319891,0.1437392112601248,-0.05267408327119205,2,0.19641329453131684,0.425,0.42176998,0.31039,0.16902,,0.12364323418330536,-0.0977804366016205,0.4238730740764647,0.098352881157318,16.05034,14.040062593595382,hold,0.03024283385702499,-2.20234669028116,"LOW_CASH_CONVERSION,RECEIVABLES_OUTRUN"
14,KLAC,KLA Corporation,Information Technology,Semiconductor Materials & Equipment,266169712640,0.6751406926406927,2026-10-28,74,4.0,0.0,2.6175,2.405,0.1170212765957448,0.15208012244148428,0.05122740635873102,2,0.10085271608275326,0.152,0.42486,0.35574,0.87496,0.2063343570642209,0.22304330327583988,-0.3247820523337386,1.1594241576123174,0.1377272168229573,55.509537,30.996666185733982,buy,0.040429329553457655,0.8576434279331394,RECEIVABLES_OUTRUN
15,MA,Mastercard,Financials,Transaction & Payment Processing Services,498703663104,0.6584415584415584,2026-10-29,75,4.0,0.0,5.885,-2.009999999999999,0.21445783132530116,0.14066150252059506,0.010438540833248133,3,0.13022296168734693,0.141,0.61108,0.46339,2.41202,0.5870906905803254,0.08133373277549749,-0.04361304339043581,-0.008760130661233156,0.16858407081961047,31.348568,24.741120045076944,strong_buy,-0.021627169590000182,1.0725841176108752,
16,AVGO,Broadcom,Information Technology,Semiconductors,1869681393664,0.6567207792207792,2026-09-02,18,4.0,0.0,2.26,-1.4600000000000002,0.5443037974683542,0.47873900293255134,0.24731709125353807,3,0.23142191167901327,0.479,0.48988,0.38848,0.37280998,1.0759196582890276,0.06719499245418104,-0.18264851920492542,0.28075794239247953,0.3432516682808522,65.38934,20.121694499984915,strong_buy,-0.02504450417117526,1.146843128560221,"RECEIVABLES_OUTRUN,INVENTORY_BUILD"
17,CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,17903300608,0.6508387445887445,2026-11-04,81,3.0,1.0,11.6525,7.305,0.9957805907172996,0.17566137566137563,0.011809766636045493,1,0.16385160902533014,0.176,0.49325,0.27122,0.29867,0.29253807248190977,0.14035003566980087,-0.13230379236825762,0.4054676833358759,0.05873556017747661,8.782479,11.344054292639944,hold,-0.0608686609587854,1.4182944259171033,
18,SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,192111886336,0.648051948051948,2026-10-15,61,3.0,1.0,2.9924999999999997,1.045,0.42105263157894757,0.2086822765339258,0.04099983451140332,2,0.16768244202252247,0.209,0.52277,0.38793,0.20273,,0.16195044296428573,0.0,0.1770045481165512,0.12521382771317047,20.234972,14.237268530664899,buy,-0.0027064070755847664,1.1308438985736926,RECEIVABLES_OUTRUN
19,HWM,Howmet Aerospace,Industrials,Aerospace & Defense,115325386752,0.6354166666666666,2026-11-05,82,4.0,0.0,7.55,1.92,0.4615384615384617,0.2406234778373113,0.09251204115518297,3,0.14811143668212834,0.241,0.28504,0.20522,0.34732,1.4677881846373972,0.2018591119294162,-0.0072068743944898594,0.639038729043375,0.159582296469446,1701.0587,45.27293885334769,strong_buy,-0.02881014116969173,1.1870657402458578,
20,V,Visa Inc.,Financials,Transaction & Payment Processing Services,679885275136,0.626271645021645,2026-10-27,73,4.0,0.0,2.6774999999999998,4.195,0.11409395973154357,0.14362957137239474,0.01689833735919466,3,0.12673123401320008,0.144,0.66130996,0.50782,0.6119,0.3237280503091134,0.10357341129315012,-0.015233409515235996,0.07155838651103386,0.1429363366083476,30.965136,24.315083592455046,strong_buy,0.00012332103548562797,0.9994688385269122,
21,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",4464797286400,0.6237554112554112,2026-10-29,75,4.0,0.0,5.265,-0.33000000000000007,0.286624203821656,0.16356501765281384,0.03318664552125927,2,0.13037837213155457,0.164,0.32623002,0.27618998,1.4875101,0.13065685929459028,0.09266249181879349,-0.09964166062967783,0.3159906416940308,0.05345800580445492,35.083714,32.17703922965489,buy,-0.04979006968762985,1.138012875203599,
22,CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment,393743728640,0.5982142857142857,2026-10-29,75,4.0,0.0,17.5175,16.095,0.7309322033898307,0.23984549459834636,0.1167218226723099,1,0.12312367192603646,0.24,0.22183001,0.14511,0.56972003,2.412220905491749,0.13899295755199392,-0.19414125143496852,1.0891478672714867,0.14318688680090275,36.905216,26.752850228753896,buy,-0.028248001907388017,1.25129103651789,
23,GE,GE Aerospace,Industrials,Aerospace & Defense,382217289728,0.5905303030303031,2026-10-20,66,4.0,0.0,11.9375,1.0549999999999997,0.2168674698795181,0.21103248049355838,0.03740803894200351,3,0.17362444155155488,0.211,0.20571,0.17716,0.48231998,0.8956719390376219,0.1590083028394218,-0.033681329145311634,0.37711365822104637,0.0991496406782626,43.492325,40.5923425380444,none,-0.006547317813765182,1.0922871154703522,
24,MSFT,Microsoft,Information Technology,Systems Software,3678615371776,0.5798160173160173,2026-10-28,74,4.0,0.0,8.7825,-0.8550000000000004,0.29863013698630136,0.17747020577962092,0.025393580732979704,3,0.1520766250466412,0.177,0.45111,0.40305,0.34039003,0.26755971977394727,0.1485765136581534,-0.08030796853892552,-0.040768018232021475,0.14969379696643936,27.62967,21.015317741083326,strong_buy,-0.0714197036545497,1.367748543914347,
25,BNY,BNY Mellon,Financials,Asset Management & Custody Banks,110759018496,0.5743506493506494,2026-10-15,61,4.0,0.0,10.0575,7.124999999999999,0.268041237113402,0.13846810326434822,0.02257228539360301,3,0.11589581787074521,0.131,0.40046,0.29413998,0.14124,,0.27484258212724244,0.0,0.6297148649426803,0.025075498462950874,19.047842,15.932367536137622,buy,0.005300296944346882,0.5544371749706425,LOW_CASH_CONVERSION
26,EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,75958157312,0.5731385281385281,2026-11-05,82,4.0,0.0,5.6175,-2.914999999999999,1.1853448275862073,0.15679561793906194,-0.010912206349945608,0,0.16770782428900755,0.587,0.40717998,0.25733,0.22507,0.2306312636994002,0.149778857440654,-0.040890454847161695,0.23518450211080255,0.11311085702693391,11.098054,9.81729104201668,buy,-0.1041052212036668,1.9503365472075678,RECEIVABLES_OUTRUN
27,DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,50434998272,0.5715909090909091,2026-11-04,81,2.0,2.0,4.025,-1.7000000000000002,0.8690476190476193,0.7313258636788049,0.6077661492039834,2,0.1235597144748215,0.642,0.41077,0.17464,0.11522,1.2262438231826065,0.09033195051512855,-0.11319158380269156,0.3991915881583801,0.30274311860039793,9.967391,8.506556216903487,strong_buy,-0.10310608801071537,2.607621951219512,
28,CSCO,Cisco,Information Technology,Communications Equipment,440179425280,0.5433008658008658,2026-11-12,89,4.0,0.0,2.56,1.5499999999999998,0.23232323232323226,0.11958442292741545,0.0018345786092737182,1,0.11774984431814173,0.176,0.27701,0.20951,0.27319,0.7309674056186624,0.2221704337556767,-0.13770930169404139,0.6192115573449797,0.21450886129442437,33.537537,20.46463205592147,buy,-0.00869855866431879,1.0892289680548586,"RECEIVABLES_OUTRUN,INVENTORY_BUILD"
29,CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,26577793024,0.5423430735930735,2026-10-26,72,3.0,1.0,10.5025,-34.025,-0.2741116751269036,0.1157443491816057,-0.0335644047132555,3,0.1493087538948612,0.316,0.37202,0.23843001,0.21484,-0.23276058540892727,0.04872529997357389,-0.09821382455992023,0.14959504897560372,0.1068122193603609,8.176109,19.174594797252805,buy,-0.017862830787264132,1.2542618788538267,
30,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,30926202880,0.5375811688311688,2026-10-30,76,4.0,0.0,5.2225,1.1049999999999995,0.44715447154471555,0.22948444823178527,0.09963880789591983,2,0.12984564033586543,0.229,0.34634,0.26734,0.26297,-0.4009944844710087,0.05445470714719103,-0.19072616192972447,0.21213184096427762,0.07285163869926325,23.099846,19.420774960640223,hold,-0.062031987628194694,1.4505949301603724,
31,WST,West Pharmaceutical Services,Health Care,Health Care Supplies,24590698496,0.5368777056277056,2026-10-22,68,4.0,0.0,16.755,7.42,0.2880434782608696,0.13803000652315722,0.031173152041817254,1,0.10685685448133997,0.138,0.22469,0.1698,0.19087,-0.1307827230870423,0.21288472075316278,-0.043997764000151984,0.42356470714760386,0.1583003962184475,44.6258,35.06557634752226,strong_buy,-0.024236536641259403,1.1722428748451053,
32,COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,152305565696,0.5303300865800866,2026-11-05,82,3.0,1.0,7.48,7.379999999999999,1.2816901408450705,0.3682519280205656,0.2443847791236553,1,0.1238671488969103,0.355,0.3151,0.144,0.1418,0.5824495502200491,0.16776015325372917,-0.04542458545931194,0.3661052204607316,0.14141293100904173,16.769842,13.467404870328888,buy,-0.1024305274244511,2.3620986856280974,
33,EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",39929237504,0.5228084415584415,2026-11-05,82,4.0,0.0,18.2975,15.395,0.35849056603773577,0.13972530375066028,0.044778416340294225,3,0.09494688741036605,0.14,0.1898,0.12968001,0.89489,-0.4972319223687495,0.3203268868743865,0.0,0.599148789855185,0.003508213502145363,20.9239,13.787573101178475,buy,-0.11349643985224048,2.56188605108055,
34,BLK,BlackRock,Financials,Asset Management & Custody Banks,190703173632,0.5148538961038961,2026-10-14,60,4.0,0.0,7.297499999999999,4.374999999999999,0.15435684647302894,0.3062880324543611,0.1076103980159051,2,0.19867763443845599,0.306,0.35079,0.24089001,0.122779995,0.10120548453503023,0.12199431318826814,-0.008230027356408764,0.033010651664413304,0.11988065557893979,28.093107,18.29667969553728,buy,0.016367556500023268,0.5988442822384428,LOW_CASH_CONVERSION
35,HAS,Hasbro,Consumer Discretionary,Leisure Products,13638999040,0.5135010822510822,2026-10-22,68,4.0,0.0,26.1175,-9.915,-0.015384615384615441,0.1619086460032626,0.053585839292979776,1,0.10832280671028283,0.162,0.22157,0.15968001,1.5956,1.9227812052438065,0.10481273672616997,-0.07339885632072152,0.24440012374625186,0.13015215562513616,17.206406,14.81830953234857,strong_buy,-0.0881408541153805,1.6222138269739328,
