rank,ticker,security,gics_sector,gics_sub_industry,marketCap,composite_score,next_earnings,days_to_earnings,eps_beats_4q,eps_misses_4q,eps_surprise_avg_4q,eps_surprise_trend,eps_yoy_q,rev_yoy_q,rev_accel,rev_up_years,rev_growth_ttm,revenueGrowth,operatingMargins,profitMargins,returnOnEquity,net_debt_ebitda,dist_sma200,dist_52w_high,ret_12m,analyst_upside,trailingPE,forwardPE,recommendationKey,accrual_ratio,cfo_ni,eq_flags
1,SNDK,Sandisk,Information Technology,"Technology Hardware, Storage & Peripherals",256763297792,0.9270771267792122,2026-11-06,41.0,4.0,0.0,46.3125,-19.235,134.34482758620692,3.7159389794844815,2.780428238341543,3,0.9355107411429384,3.716,0.78472,0.56465,0.9164,-0.36149638544311397,0.6046407423029181,-0.23862952940979654,16.808274228390275,0.20178965087122558,24.629496,6.747239932809915,buy,-0.013411473008001802,1.0208169334382926,
2,MU,Micron Technology,Information Technology,Semiconductors,1220343234560,0.9136279377689507,2026-09-30,4.0,4.0,0.0,20.28,14.040000000000001,12.146596858638743,3.457155144608107,2.0419912300059346,2,1.4151639146021724,3.457,0.80370003,0.55906,0.66638,-0.287971626575836,0.645150971518248,-0.10948268880492917,5.503601181811419,0.4025926711043819,24.210844,6.770858483581196,strong_buy,-0.009063145560893892,1.019081020032099,RECEIVABLES_OUTRUN
3,LLY,Lilly (Eli),Health Care,Pharmaceuticals,1053940252672,0.8009599470374048,2026-10-29,33.0,4.0,0.0,20.365,12.440000000000001,0.32805071315372447,0.4766679521789432,0.14608034633242117,3,0.330587605846522,0.477,0.54222,0.33528998,1.02286,1.1019253075879267,0.10900682239222159,-0.07689360154339808,0.5753943756620385,0.12141187722467262,38.611237,24.96370130940207,buy,-0.011280990240356307,1.0513567342537962,
4,ANET,Arista Networks,Information Technology,Communications Equipment,256621395968,0.773104932141675,2026-11-03,38.0,4.0,0.0,9.015,4.88,0.3972602739726028,0.3768595791001452,0.1335443353644863,3,0.24331524373565894,0.377,0.45393002,0.38371,0.31476,-2.8759589654015976,0.3163207599678799,-0.02280286485395633,0.4147180576547178,0.17612505390981448,64.38924,39.65362558754924,strong_buy,-0.06270137600206686,1.3120209662265736,
5,NEM,Newmont,Materials,Gold,127812878336,0.7424859318106587,2026-10-22,26.0,4.0,0.0,20.555,-1.9800000000000004,0.46853146853146876,0.1506488621403046,-0.0412550653317707,2,0.1919039274720753,0.151,0.51569,0.33363998,0.25905,-0.19996484614817098,0.10015974549674778,-0.10054381370191479,0.46246668546832415,0.12609436573316346,15.296344,11.843923297978439,buy,-0.07146782972536922,1.4688844945911363,
6,LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment,384355762176,0.7378152929493544,2026-10-21,25.0,4.0,0.0,6.984999999999999,2.0,0.368421052631579,0.29988921747003183,0.1140251477555978,2,0.18586406971443403,0.3,0.37390998,0.31272,0.65066004,-0.16867845618279478,0.13888567439689892,-0.2904107495271705,1.3435770625593024,0.21687132290560007,53.5122,26.16456831194657,strong_buy,0.06274045263016473,0.8062405683048798,"HIGH_ACCRUALS,RECEIVABLES_OUTRUN"
7,MS,Morgan Stanley,Financials,Investment Banking & Brokerage,308333576192,0.7007447864945382,2026-10-14,18.0,4.0,0.0,19.0825,-6.565000000000001,0.6244131455399062,0.2742886439374519,0.053781649102038864,3,0.22050699483541303,0.28,0.41567,0.25897,0.17969999,,0.02308349903092477,-0.13629098539075568,0.24927168861917526,0.2043019619979065,15.857836,14.390462536872919,buy,0.023600436722311234,-0.7733564872240138,"LOW_CASH_CONVERSION,RECEIVABLES_OUTRUN"
8,KLAC,KLA Corporation,Information Technology,Semiconductor Materials & Equipment,244179763200,0.6842005958291957,2026-10-28,32.0,4.0,0.0,2.6175,2.405,0.1170212765957448,0.15208012244148428,0.06564228127838767,2,0.08643784116309661,0.152,0.42486,0.35574,0.87496,0.2063343570642209,0.06947626892682868,-0.37913394984299675,0.756073519579938,0.24936790784803775,51.263012,27.90441709102402,buy,0.040429329553457655,0.8576434279331394,RECEIVABLES_OUTRUN
9,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,4131638738944,0.6765706719629262,2026-10-28,32.0,4.0,0.0,85.60499999999999,137.32,2.9437229437229435,0.2423362508814868,0.09590806192873713,3,0.14642818895274967,0.242,0.34033,0.54771,0.48676,-0.7027037421946938,0.013908753781293415,-0.1486149005210482,0.3639447856837039,0.25439767605726704,17.60448,22.978397975360725,strong_buy,0.08220297801460076,0.7603243176839131,HIGH_ACCRUALS
10,AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,376466767872,0.6646474677259185,2026-11-12,47.0,4.0,0.0,5.2875,-0.9649999999999999,0.41129032258064524,0.2482881402355519,0.15682731219390522,3,0.09146082804164668,0.248,0.33736,0.30052,0.41068,-0.18581985343943003,0.13021021343680217,-0.3433511544303425,1.374038415634819,0.3513667896678967,40.82444,25.697934758526923,strong_buy,0.022410044639985593,0.9060105751591669,
